reply_num	reply_ts	reply_user	talk_id	talk_user
1	1562492962.011900	UL70KNF4P	0b90e573-eed7-4fad-ad31-b8f1044c1393	UL70KNF4P
2	1562493923.018900	UJRAL005U	0b90e573-eed7-4fad-ad31-b8f1044c1393	UL70KNF4P
3	1562494674.019100	UL70KNF4P	0b90e573-eed7-4fad-ad31-b8f1044c1393	UL70KNF4P
4	1562495599.022400	UJRAL005U	0b90e573-eed7-4fad-ad31-b8f1044c1393	UL70KNF4P
0	1562239261.001400	UJRAL005U	2b369d46-8b91-4165-b166-b8b8afffc7d2	UKFLR3VHR
1	1562239375.002900	UJRAL005U	2b369d46-8b91-4165-b166-b8b8afffc7d2	UKFLR3VHR
0	1562039969.025800	UL0NZCCMT	3bc6f425-7a45-433c-8fbd-344e37d127cb	UKT5BQD3P
1	1562040520.028000	UKT5BQD3P	3bc6f425-7a45-433c-8fbd-344e37d127cb	UKT5BQD3P
0	1561898456.006200	UJRAL005U	334c68af-b127-4a04-9470-07d5849cdea6	UKU6PP3J5
1	1561898745.006600	UJRAL005U	334c68af-b127-4a04-9470-07d5849cdea6	UKU6PP3J5
2	1561898753.007100	UJRAL005U	334c68af-b127-4a04-9470-07d5849cdea6	UKU6PP3J5
3	1561899118.007300	UKU6PP3J5	334c68af-b127-4a04-9470-07d5849cdea6	UKU6PP3J5
4	1561899150.007500	UKU6PP3J5	334c68af-b127-4a04-9470-07d5849cdea6	UKU6PP3J5
5	1561899316.009800	UJRAL005U	334c68af-b127-4a04-9470-07d5849cdea6	UKU6PP3J5
6	1561899629.010000	UKU6PP3J5	334c68af-b127-4a04-9470-07d5849cdea6	UKU6PP3J5
7	1561899766.011300	UJRAL005U	334c68af-b127-4a04-9470-07d5849cdea6	UKU6PP3J5
8	1561899772.011600	UJRAL005U	334c68af-b127-4a04-9470-07d5849cdea6	UKU6PP3J5
9	1561899981.015200	UKU6PP3J5	334c68af-b127-4a04-9470-07d5849cdea6	UKU6PP3J5
10	1561900188.019700	UJRAL005U	334c68af-b127-4a04-9470-07d5849cdea6	UKU6PP3J5
11	1561900311.020100	UKU6PP3J5	334c68af-b127-4a04-9470-07d5849cdea6	UKU6PP3J5
12	1561900409.021300	UJRAL005U	334c68af-b127-4a04-9470-07d5849cdea6	UKU6PP3J5
13	1561900572.021500	UKU6PP3J5	334c68af-b127-4a04-9470-07d5849cdea6	UKU6PP3J5
0	1566469295.147100	UJRAL005U	92f97af8-94b4-415c-9791-43fdd8f27cd8	UMFGQHD46
1	1566471451.148600	UJRAL005U	92f97af8-94b4-415c-9791-43fdd8f27cd8	UMFGQHD46
2	1566473666.150200	UJRAL005U	92f97af8-94b4-415c-9791-43fdd8f27cd8	UMFGQHD46
